1 fastest strategy (matt="cheat bot" video | oob=reach an OOB goal zone | reg=regular goal zone-and not matt)
2 done? ("x"=done | "(x)"=done but probably improvable | " "=not done)
3 new early clip done?("+"=yes | " "=no)
4 comments
___________________________
              |1   |2  |3|4
--------------|----|---|-|-
Grasslands 1  |matt| x | |
Grasslands 2  |oob | x |+|
Grasslands 3  |matt| x | |
Ocean 1       |oob | x |+|
Ocean 2       |matt|(x)| |
Ocean 3       |oob | x |+|
Jungle 1      |oob | x |+|
Jungle 2      |oob | x |+|
Jungle 3      |matt| x | |
Cake Land 1   |oob | x |+|
Cake Land 2   |matt| x | |
Cake Land 3   |oob | x |+|TODO: way to clip in corners
Cave 1        |matt| x | |
Cave 2        |oob | x |+|
Cave 3        |oob | x |+|
Cloud Land 1  |matt| x | |
Cloud Land 2  |oob | x |+|there might be a faster way to go OOB with two hearts?
Cloud Land 3  |matt| x | |
Star Land 1   |matt|(x)| |
Star Land 2   |oob | x |+|
Star Land 3   |matt| x | |
Ice Land 1    |matt| x | |
Ice Land 2    |reg | x |+|
Ice Land 3    |matt| x | |
Machine Land 1|oob | x |+|
Machine Land 2|oob | x |+|
Machine Land 3|oob | x |+|
Ghost Castle 1|oob | x |+|
Ghost Castle 2|reg | x |+|TODO: way to clip in corners
Ghost Castle 3|oob | x |+|there might be faster strategies
